Region,State,Location,manufacturer,car_model,car_option,Year,Price,New_Price,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Mileage_unit,Power_unit
South,Maharashtra,Mumbai,Maruti,Wagon,R LXI CNG,2010,2682.68,,72000,CNG,Manual,First,37.24,998 CC,58.16,5.0,kmpl,
South,Maharashtra,Pune,Hyundai,Creta,1.6 CRDi SX Option,2015,19162.0,,41000,Diesel,Manual,First,16.7195,1582 CC,126.2,5.0,kmpl,
South,Tamil Nadu,Chennai,Honda,Jazz,V,2011,6898.32,8.61 Lakh,46000,Petrol,Manual,First,13.65,1199 CC,88.7,5.0,kmpl,
South,Tamil Nadu,Chennai,Maruti,Ertiga,VDI,2012,9197.76,,87000,Diesel,Manual,First,17.6545,1248 CC,88.76,7.0,kmpl,
South,Tamil Nadu,Coimbatore,Audi,A4,New 2.0 TDI Multitronic,2013,27194.71,,40670,Diesel,Automatic,Second,12.92,1968 CC,140.8,5.0,kmpl,
South,Telangana,Hyderabad,Hyundai,EON,LPG Era Plus Option,2012,3602.46,,75000,LPG,Manual,First,29.54,814 CC,55.2,5.0,kmpl,
North,Rajasthan,Jaipur,Nissan,Micra,Diesel XV,2013,5365.36,,86999,Diesel,Manual,First,19.618,1461 CC,63.1,5.0,kmpl,
South,Maharashtra,Mumbai,Toyota,Innova,Crysta 2.8 GX AT 8S,2016,26826.8,21 Lakh,36000,Diesel,Automatic,First,9.656,2755 CC,171.5,8.0,kmpl,
South,Maharashtra,Pune,Volkswagen,Vento,Diesel Comfortline,2013,7971.39,,64430,Diesel,Manual,First,17.459,1598 CC,103.6,5.0,kmpl,
South,Tamil Nadu,Chennai,Tata,Indica,Vista Quadrajet LS,2012,2989.27,,65932,Diesel,Manual,Second,18.955,1248 CC,74.0,5.0,kmpl,
South,Kerala,Kochi,Maruti,Ciaz,Zeta,2018,15252.95,10.65 Lakh,25692,Petrol,Manual,First,16.169999999999998,1462 CC,103.25,5.0,kmpl,
North,West Bengal,Kolkata,Honda,City,1.5 V AT Sunroof,2012,6882.99,,60000,Petrol,Automatic,First,12.6,1497 CC,116.3,5.0,kmpl,
North,Rajasthan,Jaipur,Maruti,Swift,VDI BSIV,2015,8584.58,,64424,Diesel,Manual,First,21.42,1248 CC,74.0,5.0,kmpl,
North,Delhi,Delhi,Land,Rover,Range Rover 2.2L Pure,2014,41389.92,,72000,Diesel,Automatic,First,10.795,2179 CC,187.7,5.0,kmpl,
North,Delhi,Delhi,Mitsubishi,Pajero,Sport 4X4,2014,22994.4,32.01 Lakh,110000,Diesel,Manual,First,11.475,2477 CC,175.56,7.0,kmpl,
South,Kerala,Kochi,Honda,Amaze,S i-Dtech,2016,8277.98,,58950,Diesel,Manual,First,21.93,1498 CC,98.6,5.0,kmpl,
North,Rajasthan,Jaipur,Maruti,Swift,DDiS VDI,2017,9182.43,,25000,Diesel,Manual,First,24.14,1248 CC,74.0,5.0,kmpl,
South,Kerala,Kochi,Renault,Duster,85PS Diesel RxL Plus,2014,9718.97,,77469,Diesel,Manual,First,17.3825,1461 CC,83.8,5.0,kmpl,
South,Karnataka,Bangalore,Mercedes-Benz,New,C-Class C 220 CDI BE Avantgare,2014,42922.88,,78500,Diesel,Automatic,First,12.614,2143 CC,167.62,5.0,kmpl,
South,Kerala,Kochi,BMW,3,Series 320d,2014,28436.41,47.87 Lakh,32982,Diesel,Automatic,First,19.2865,1995 CC,190.0,5.0,kmpl,
South,Karnataka,Bangalore,Maruti,S,Cross DDiS 200 Alpha,2015,12646.92,,55392,Diesel,Manual,Second,20.1025,1248 CC,88.5,5.0,kmpl,
South,Maharashtra,Mumbai,Audi,A6,2011-2015 35 TFSI Technology,2015,36024.56,,55985,Petrol,Automatic,First,10.1475,1984 CC,177.01,5.0,kmpl,
North,West Bengal,Kolkata,Hyundai,i20,1.2 Magna,2010,2866.64,,45807,Petrol,Manual,First,13.875,1197 CC,80.0,5.0,kmpl,
North,West Bengal,Kolkata,Volkswagen,Vento,Petrol Highline AT,2010,4368.94,,33000,Petrol,Automatic,First,10.8,1598 CC,103.6,5.0,kmpl,
South,Maharashtra,Mumbai,Honda,City,Corporate Edition,2012,6515.08,,51920,Petrol,Manual,First,12.6,1497 CC,116.3,5.0,kmpl,
South,Telangana,Hyderabad,Nissan,Micra,Diesel XV,2012,6515.08,,54000,Diesel,Manual,First,19.618,1461 CC,63.1,5.0,kmpl,
South,Telangana,Hyderabad,Maruti,Alto,K10 2010-2014 VXI,2013,4215.64,,54000,Petrol,Manual,Second,15.69,998 CC,67.1,5.0,kmpl,
South,Kerala,Kochi,Honda,WRV,i-VTEC VX,2018,15176.3,10.57 Lakh,37430,Petrol,Manual,First,13.125,1199 CC,88.7,5.0,kmpl,
South,Maharashtra,Mumbai,Toyota,Innova,2.5 V Diesel 7-seater,2007,6131.84,,262000,Diesel,Manual,Fourth & Above,10.88,2494 CC,102.0,7.0,kmpl,
South,Karnataka,Bangalore,Renault,Duster,110PS Diesel RxZ Pack,2013,11880.44,,62000,Diesel,Manual,First,16.1585,1461 CC,108.45,5.0,kmpl,
North,Delhi,Delhi,Toyota,Corolla,Altis G,2012,10347.48,,87615,Petrol,Manual,First,10.8975,1798 CC,138.1,5.0,kmpl,
South,Karnataka,Bangalore,Mahindra,Ssangyong,Rexton RX7,2013,19162.0,,72000,Diesel,Automatic,Second,9.503,2696 CC,184.0,7.0,kmpl,
North,West Bengal,Kolkata,Audi,A6,2.7 TDI,2010,17629.04,,35000,Diesel,Automatic,First,10.54,2698 CC,179.5,5.0,kmpl,
South,Tamil Nadu,Coimbatore,Volkswagen,Vento,1.6 Highline,2014,10700.06,12.33 Lakh,55431,Petrol,Manual,Second,12.0675,1598 CC,103.5,5.0,kmpl,
North,Rajasthan,Jaipur,Maruti,Wagon,R LXI BSIII,2009,2835.98,,83816,Petrol,Manual,Second,10.5,1061 CC,64.0,5.0,kmpl,
South,Kerala,Kochi,Maruti,Vitara,Brezza ZDi Plus,2018,13229.44,11.12 Lakh,50075,Diesel,Manual,First,20.655,1248 CC,88.5,5.0,kmpl,
North,Delhi,Delhi,Mahindra,KUV,100 mFALCON G80 K6 5str AW,2017,7434.86,,52000,Petrol,Manual,First,13.6125,1198 CC,82.0,5.0,kmpl,
